layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,920638802.242559,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,0,,,,
Ether,60,Raw,46,,,,,920638803.0681528,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_friday.tcpdump,1,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638803.741236,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638804.740718,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,3,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638805.739772,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,4,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638806.740308,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,5,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638807.743066,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,6,,,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,920638807.924753,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week1_friday.tcpdump,7,RIPEntry,20.0,,
Dot3,54,LLC,40,Raw,37.0,,,920638809.2399608,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,8,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638810.240897,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,9,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638811.241118,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,10,,,,
Dot3,54,LLC,40,Raw,37.0,,,920638812.240359,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_friday.tcpdump,11,,,,
Ether,60,Raw,46,,,,,920638813.083918,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_friday.tcpdump,12,,,,
Dot3,324,LLC,310,SNAP,307.0,Raw,302.0,920638813.19906,324,00:10:7b:38:46:32,01:00:0c:cc:cc:cc,,,,,,week1_friday.tcpdump,13,,,,
Ether,76,IP,62,UDP,42.0,DNS,34.0,920638813.3106972,76,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_friday.tcpdump,14,,,,
Ether,133,IP,119,UDP,99.0,DNS,91.0,920638813.3119868,133,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_friday.tcpdump,15,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920638813.327936,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,2.0,1025.0,25.0,week1_friday.tcpdump,16,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920638813.328289,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,18.0,25.0,1025.0,week1_friday.tcpdump,17,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920638813.3307712,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,16.0,1025.0,25.0,week1_friday.tcpdump,18,,,,
Ether,87,IP,73,UDP,53.0,DNS,45.0,920638813.5042368,87,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_friday.tcpdump,19,,,,
Ether,176,IP,162,UDP,142.0,DNS,134.0,920638813.5055108,176,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_friday.tcpdump,20,,,,
Ether,79,IP,65,UDP,45.0,DNS,37.0,920638813.507272,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_friday.tcpdump,21,,,,
Ether,144,IP,130,UDP,110.0,DNS,102.0,920638813.508302,144,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_friday.tcpdump,22,,,,
Ether,137,IP,123,TCP,103.0,SMTPResponse,83.0,920638813.5813608,137,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,23,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920638813.599194,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,16.0,1025.0,25.0,week1_friday.tcpdump,24,,,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,920638813.615226,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,25,,,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,920638813.6167052,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,26,,,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,920638813.617712,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,27,,,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,920638813.617922,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,28,,,,
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,920638813.618794,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,29,,,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,920638813.619038,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,30,,,,
Ether,89,IP,75,TCP,55.0,SMTPRequest,35.0,920638813.619968,89,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,31,,,,
Ether,88,IP,74,TCP,54.0,SMTPResponse,34.0,920638813.620205,88,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,32,,,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,920638813.6210212,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,33,,,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,920638813.622122,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.182.91.233,172.16.112.194,24.0,25.0,1025.0,week1_friday.tcpdump,34,,,,
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,920638813.62458,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.194,197.182.91.233,24.0,1025.0,25.0,week1_friday.tcpdump,35,,,,
