layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,,,920293202.3412212,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,0,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293203.341793,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,1,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293204.342696,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,2,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293205.342939,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,3,,
Dot3,324,LLC,310,SNAP,307.0,Raw,302.0,,,920293205.928548,324,00:10:7b:38:46:32,01:00:0c:cc:cc:cc,,,,,,week1_monday.tcpdump,4,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,RIPEntry,20.0,920293206.7946732,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week1_monday.tcpdump,5,,
Ether,60,Raw,46,,,,,,,920293207.274142,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_monday.tcpdump,6,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,920293207.6185,90,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.10,192.168.1.10,,123.0,123.0,week1_monday.tcpdump,7,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,920293207.619654,90,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.10,,123.0,123.0,week1_monday.tcpdump,8,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293208.3415892,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,9,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293209.3427428,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,10,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293210.3421028,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,11,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293211.341773,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,12,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293212.3415972,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,13,,
