layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,920379602.5097108,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,0,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379603.508994,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,1,,,,
Ether,60,Raw,46,,,,,920379603.511778,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_tuesday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379605.009688,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,3,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379606.008707,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,4,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379607.00869,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,5,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379608.009981,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,6,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379609.00906,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,7,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379610.008842,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,8,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379611.009483,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,9,,,,
Dot3,54,LLC,40,Raw,37.0,,,920379612.0111,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_tuesday.tcpdump,10,,,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,920379612.505876,77,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.112.20,192.168.1.20,,53.0,53.0,week1_tuesday.tcpdump,11,,,,
Ether,133,IP,119,UDP,99.0,DNS,91.0,920379612.5096768,133,00:60:97:de:54:36,00:10:7b:38:46:32,192.168.1.20,172.16.112.20,,53.0,53.0,week1_tuesday.tcpdump,12,,,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,920379612.510912,77,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_tuesday.tcpdump,13,,,,
Ether,133,IP,119,UDP,99.0,DNS,91.0,920379612.511921,133,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_tuesday.tcpdump,14,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920379612.536008,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,195.73.151.50,2.0,1024.0,25.0,week1_tuesday.tcpdump,15,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,920379612.53635,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.113.105,18.0,25.0,1024.0,week1_tuesday.tcpdump,16,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,920379612.5371368,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,195.73.151.50,16.0,1024.0,25.0,week1_tuesday.tcpdump,17,,,,
Ether,87,IP,73,UDP,53.0,DNS,45.0,920379612.7102869,87,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_tuesday.tcpdump,18,,,,
Ether,177,IP,163,UDP,143.0,DNS,135.0,920379612.7115848,177,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_tuesday.tcpdump,19,,,,
Ether,80,IP,66,UDP,46.0,DNS,38.0,920379612.713101,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_tuesday.tcpdump,20,,,,
Ether,145,IP,131,UDP,111.0,DNS,103.0,920379612.714133,145,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_tuesday.tcpdump,21,,,,
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,920379612.798806,138,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.113.105,24.0,25.0,1024.0,week1_tuesday.tcpdump,22,,,,
