layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,,,920466003.19502,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,0,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466003.541301,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,1,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466003.542864,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,2,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466004.694138,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,3,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466005.536333,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,4,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466005.537857,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,5,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466006.195542,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,6,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466007.195147,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,7,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466007.547924,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,8,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466007.5494212,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,9,,
Ether,60,Raw,46,,,,,,,920466007.687343,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_wednesday.tcpdump,10,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466009.195164,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,11,,
