layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,921502802.232652,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,0,,,,
Dot3,324,LLC,310,SNAP,307.0,Raw,302.0,921502803.08878,324,00:10:7b:38:46:32,01:00:0c:cc:cc:cc,,,,,,week3_monday.tcpdump,1,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502803.735178,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,2,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502804.733736,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,3,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502805.732827,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,4,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502806.733538,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,5,,,,
Ether,60,Raw,46,,,,,921502806.984844,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_monday.tcpdump,6,,,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,921502807.31048,90,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.10,,123.0,123.0,week3_monday.tcpdump,7,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502808.7329,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,8,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502809.733616,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,9,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502810.733593,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,10,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502811.7340392,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,11,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502812.733872,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,12,,,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,921502813.405494,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_monday.tcpdump,13,RIPEntry,20.0,,
Dot3,54,LLC,40,Raw,37.0,,,921502814.233773,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,14,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502815.233776,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,15,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502816.233556,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,16,,,,
Ether,60,Raw,46,,,,,921502816.9846108,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_monday.tcpdump,17,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502817.732927,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,18,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502818.7327348,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,19,,,,
Dot3,54,LLC,40,Raw,37.0,,,921502819.7339312,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_monday.tcpdump,20,,,,
Ether,80,IP,66,UDP,46.0,DNS,38.0,921502819.87857,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week3_monday.tcpdump,21,,,,
Ether,145,IP,131,UDP,111.0,DNS,103.0,921502819.88381,145,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week3_monday.tcpdump,22,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,921502819.888838,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,2.0,1024.0,25.0,week3_monday.tcpdump,23,,,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,921502819.8935232,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,18.0,25.0,1024.0,week3_monday.tcpdump,24,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,921502819.893723,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,16.0,1024.0,25.0,week3_monday.tcpdump,25,,,,
Ether,86,IP,72,UDP,52.0,DNS,44.0,921502820.0319028,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week3_monday.tcpdump,26,,,,
Ether,157,IP,143,UDP,123.0,DNS,115.0,921502820.033093,157,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week3_monday.tcpdump,27,,,,
Ether,78,IP,64,UDP,44.0,DNS,36.0,921502820.035078,78,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week3_monday.tcpdump,28,,,,
Ether,134,IP,120,UDP,100.0,DNS,92.0,921502820.03554,134,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week3_monday.tcpdump,29,,,,
Ether,140,IP,126,TCP,106.0,SMTPResponse,86.0,921502820.0904188,140,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,25.0,1024.0,week3_monday.tcpdump,30,,,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,921502820.10965,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,16.0,1024.0,25.0,week3_monday.tcpdump,31,,,,
Ether,79,IP,65,TCP,45.0,SMTPRequest,25.0,921502820.135818,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,25.0,week3_monday.tcpdump,32,,,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,921502820.1363232,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,25.0,1024.0,week3_monday.tcpdump,33,,,,
Ether,79,IP,65,TCP,45.0,SMTPRequest,25.0,921502820.136798,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,25.0,week3_monday.tcpdump,34,,,,
Ether,101,IP,87,TCP,67.0,SMTPResponse,47.0,921502820.137608,101,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,25.0,1024.0,week3_monday.tcpdump,35,,,,
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,921502820.137934,95,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,25.0,week3_monday.tcpdump,36,,,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,921502820.1387552,102,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,25.0,1024.0,week3_monday.tcpdump,37,,,,
Ether,94,IP,80,TCP,60.0,SMTPRequest,40.0,921502820.139126,94,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,25.0,week3_monday.tcpdump,38,,,,
Ether,93,IP,79,TCP,59.0,SMTPResponse,39.0,921502820.139963,93,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,25.0,1024.0,week3_monday.tcpdump,39,,,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,921502820.1402688,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,25.0,week3_monday.tcpdump,40,,,,
