layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_4,length_4,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,921675603.181876,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,0,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675604.181211,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,1,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675605.184219,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,2,,,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,921675605.288859,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week3_thursday.tcpdump,3,RIPEntry,20.0,,
Dot3,54,LLC,40,Raw,37.0,,,921675606.682074,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,4,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675607.682255,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,5,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675608.6815448,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,6,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675609.6813972,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,7,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675610.682302,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,8,,,,
Ether,60,Raw,46,,,,,921675611.447995,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_thursday.tcpdump,9,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675612.1812552,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,10,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675613.182131,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,11,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675614.181541,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,12,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675615.181378,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,13,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675616.182286,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,14,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675617.1830492,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,15,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675618.181968,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,16,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675619.182793,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,17,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675620.181935,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,18,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675621.181776,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,19,,,,
Ether,60,Raw,46,,,,,921675621.447724,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week3_thursday.tcpdump,20,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675622.6833712,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,21,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675623.6826133,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,22,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675624.6827472,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,23,,,,
Dot3,54,LLC,40,Raw,37.0,,,921675625.6823608,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week3_thursday.tcpdump,24,,,,
