layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,applications,flow_id,day,week,day_week,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,payload_layers,header_length,payload_length
Ether,60,IP,46,TCP,26.0,Padding,2.0,None,0.0,920294090.2271788,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,2.0,1773.0,80.0,week1_monday.tcpdump,5773,None,0,HTTP,76010.0,monday,1,monday_1,0.0,0.0,60.0,60.0,1.0,1.0,4.0,58.0,2.0
Ether,60,IP,46,TCP,26.0,Padding,2.0,None,0.0,920294090.2318028,60,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,18.0,80.0,1773.0,week1_monday.tcpdump,5774,None,0,HTTP,76010.0,monday,1,monday_1,0.0046240091323852,12975.752919642167,120.0,120.0,2.0,2.0,4.0,58.0,2.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.232491,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5775,None,0,HTTP,76010.0,monday,1,monday_1,0.0006883144378662,87169.46311049533,180.0,180.0,3.0,3.0,4.0,54.0,6.0
Ether,200,IP,186,TCP,166.0,HTTP,146.0,HTTPRequest,146.0,920294090.233087,200,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,24.0,1773.0,80.0,week1_monday.tcpdump,5776,None,0,HTTP,76010.0,monday,1,monday_1,0.0005959272384643,100683.4326865373,380.0,380.0,4.0,4.0,5.0,54.0,146.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.254592,60,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5777,None,0,HTTP,76010.0,monday,1,monday_1,0.0215049982070922,9300.163528218318,440.0,440.0,5.0,5.0,4.0,54.0,6.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,HTTPResponse,1460.0,920294090.29498,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5778,None,0,HTTP,76010.0,monday,1,monday_1,0.0403881072998046,1485.5858323494688,1954.0,1954.0,6.0,6.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.296202,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5779,None,0,HTTP,76010.0,monday,1,monday_1,0.0012218952178955,1239058.7816585363,3468.0,3468.0,7.0,7.0,5.0,54.0,1460.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.2982028,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5780,None,0,HTTP,76010.0,monday,1,monday_1,0.0020008087158203,756694.02478551,3528.0,3528.0,8.0,8.0,4.0,54.0,6.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.303073,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5781,None,0,HTTP,76010.0,monday,1,monday_1,0.0048702955245971,12319.5809570432,5042.0,5042.0,9.0,9.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.3043,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5782,None,0,HTTP,76010.0,monday,1,monday_1,0.0012269020080566,1234002.3816556549,6556.0,6556.0,10.0,10.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.305528,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5783,None,0,HTTP,76010.0,monday,1,monday_1,0.0012279748916625,1232924.231822153,8070.0,8070.0,11.0,11.0,5.0,54.0,1460.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.3082472,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5784,None,0,HTTP,76010.0,monday,1,monday_1,0.0027192831039428,556764.3905133489,8130.0,8130.0,12.0,12.0,4.0,54.0,6.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.312892,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5785,None,0,HTTP,76010.0,monday,1,monday_1,0.004644751548767,12917.806123758435,9644.0,9644.0,13.0,13.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.314067,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5786,None,0,HTTP,76010.0,monday,1,monday_1,0.001175045967102,1288460.232525109,11158.0,11158.0,14.0,14.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.3152972,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5787,None,0,HTTP,76010.0,monday,1,monday_1,0.001230239868164,1230654.3131782946,12672.0,12672.0,15.0,15.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.31653,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5788,None,0,HTTP,76010.0,monday,1,monday_1,0.0012328624725341,1228036.4061110036,14186.0,14186.0,16.0,16.0,5.0,54.0,1460.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920294090.318341,60,00:10:7b:38:46:32,00:60:97:de:54:36,172.16.116.201,209.67.29.11,16.0,1773.0,80.0,week1_monday.tcpdump,5789,None,0,HTTP,76010.0,monday,1,monday_1,0.0018109083175659,836044.5337370812,14246.0,14246.0,17.0,17.0,4.0,54.0,6.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.322994,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5790,None,0,HTTP,76010.0,monday,1,monday_1,0.004652976989746,12894.970280795244,15760.0,15760.0,18.0,18.0,5.0,54.0,1460.0
Ether,1514,IP,1500,TCP,1480.0,HTTP,1460.0,Raw,1460.0,920294090.324244,1514,00:60:97:de:54:36,00:10:7b:38:46:32,209.67.29.11,172.16.116.201,16.0,80.0,1773.0,week1_monday.tcpdump,5791,None,0,HTTP,76010.0,monday,1,monday_1,0.0012499094009399,1211287.7932284216,17274.0,17274.0,19.0,19.0,5.0,54.0,1460.0
