time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,payload_length,header_length,length_total,timestamps,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
2020-04-25 01:00:03.379384+00:00,2000000c,QAwAACCAnmQKSN6WsNwBtukFMB9QC5b7FDE=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-102,-7.8,-1,10,25758,10.0,36,9,45,1587776403.379384,0.0,0.0,45.0,45.0,1.0,1.0
2020-04-25 01:01:08.363122+00:00,2000000c,QAwAACCA9pMKe/2e1iTxCah0yGfYweMBdHE=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-107,-2.0,-1,10,37878,10.0,36,9,45,1587776468.363122,64.98373794555664,0.6924809409655842,45.0,45.0,1.0,1.0
2020-04-25 01:01:41.155648+00:00,20000005,QAUAACCA8JMKHp+D8G+leDeDRBxrfzDy8XZJLsU=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-4.5,-1,10,37872,10.0,40,9,49,1587776501.155648,32.79252600669861,1.372263911319541,49.0,94.0,1.0,2.0
2020-04-25 01:01:59.664193+00:00,20000001,QAEAACCA05QK4KPI2IsDTrBLIyTtxl6qal0=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-108,-17.5,-1,10,38099,10.0,36,9,45,1587776519.664193,18.508544921875,2.647425835300946,45.0,139.0,1.0,3.0
2020-04-25 01:02:07.140160+00:00,14000006,QAYAABSAH7EKSkZt1d+J+LVvEA1B+784xsc=,0000024b0b031c97,1,868500000,12.0,125.0,4/5,-99,-12.8,-1,10,45343,10.0,36,9,45,1587776527.14016,7.475967168807983,6.019288071214883,45.0,184.0,1.0,4.0
2020-04-25 01:02:10.334630+00:00,20000003,QAMAACCAyq8KIVWP7R8PCfgFYiVomLY6LdY=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-98,-4.0,-1,10,45002,10.0,36,9,45,1587776530.3346298,3.194469690322876,14.086845192590228,45.0,184.0,1.0,4.0
2020-04-25 01:02:29.917695+00:00,200000f0,QPAAACCAoDUKpkM8FEkylTh7L9X92h/jurs=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-108,-7.2,-1,10,13728,10.0,36,9,45,1587776549.917695,19.583065271377563,2.2979037947532968,45.0,229.0,1.0,5.0
2020-04-25 01:03:14.805358+00:00,2000002e,QC4AACCAvJUKypY9vK0GECqkmcd/r5GTnj8Tooo=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-111,-7.2,-1,10,38332,10.0,40,9,49,1587776594.8053582,44.88766312599182,1.002502622462053,49.0,94.0,1.0,2.0
2020-04-25 01:03:33.464546+00:00,26012e76,QHYuASaAUtcKZgEVM5HRBfCQYyjN47RZ+g==,0000024b0b031c97,1,868300000,12.0,125.0,4/5,-92,-9.0,-1,10,55122,10.0,36,9,45,1587776613.464546,18.65918779373169,2.626052138049702,45.0,94.0,1.0,2.0
2020-04-25 01:03:36.777872+00:00,20000017,QBcAACCA9ZMKYWzaJRm3KUgYx5c7t6skBG0=,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-106,-0.5,-1,10,37877,10.0,36,9,45,1587776616.7778718,3.313325881958008,13.581519477162711,45.0,139.0,1.0,3.0
