layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5,applications,flow_id,day,week,day_week,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min,payload_layers,header_length,payload_length
Ether,60,IP,46,TCP,26.0,Padding,2.0,None,0.0,920293240.703176,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,2.0,1024.0,25.0,week1_monday.tcpdump,61,None,0,SMTP,49495.0,monday,1,monday_1,0.0,0.0,60.0,60.0,1.0,1.0,4.0,58.0,2.0
Ether,60,IP,46,TCP,26.0,Padding,2.0,None,0.0,920293240.703496,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,18.0,25.0,1024.0,week1_monday.tcpdump,62,None,0,SMTP,49495.0,monday,1,monday_1,0.0003200769424438,187454.92737430168,120.0,120.0,2.0,2.0,4.0,58.0,2.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920293240.706315,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,63,None,0,SMTP,49495.0,monday,1,monday_1,0.0028189420700073,21284.58070791221,180.0,180.0,3.0,3.0,4.0,54.0,6.0
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,None,0.0,920293240.954857,138,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,68,None,0,SMTP,49495.0,monday,1,monday_1,0.2485419511795044,241.40793823842725,318.0,318.0,4.0,4.0,4.0,54.0,84.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920293240.968468,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,69,None,0,SMTP,49495.0,monday,1,monday_1,0.0136109590530395,10138.888777950026,378.0,378.0,5.0,5.0,4.0,54.0,6.0
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,None,0.0,920293240.9911788,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,70,None,0,SMTP,49495.0,monday,1,monday_1,0.0227108001708984,2641.914840010078,458.0,458.0,6.0,6.0,4.0,54.0,26.0
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,None,0.0,920293240.9914428,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,71,None,0,SMTP,49495.0,monday,1,monday_1,0.0002640485763549,302974.5553047404,538.0,538.0,7.0,7.0,4.0,54.0,26.0
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,None,0.0,920293240.992448,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,72,None,0,SMTP,49495.0,monday,1,monday_1,0.0010052919387817,79578.87347325981,618.0,618.0,8.0,8.0,4.0,54.0,26.0
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,None,0.0,920293240.99269,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,73,None,0,SMTP,49495.0,monday,1,monday_1,0.000241994857788,330585.5369458128,720.0,720.0,9.0,9.0,4.0,54.0,48.0
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,None,0.0,920293240.9935528,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,74,None,0,SMTP,49495.0,monday,1,monday_1,0.0008625984191894,118247.37645107794,815.0,815.0,10.0,10.0,4.0,54.0,41.0
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,None,0.0,920293240.9938,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,75,None,0,SMTP,49495.0,monday,1,monday_1,0.0002473592758178,384056.7518072289,917.0,917.0,11.0,11.0,4.0,54.0,48.0
Ether,89,IP,75,TCP,55.0,SMTPRequest,35.0,None,0.0,920293240.9946972,89,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,76,None,0,SMTP,49495.0,monday,1,monday_1,0.0008971691131591,113690.94020728144,1006.0,1006.0,12.0,12.0,4.0,54.0,35.0
Ether,88,IP,74,TCP,54.0,SMTPResponse,34.0,None,0.0,920293240.99493,88,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,77,None,0,SMTP,49495.0,monday,1,monday_1,0.0002328157424926,382276.5550435228,1094.0,1094.0,13.0,13.0,4.0,54.0,34.0
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,None,0.0,920293240.9957348,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,78,None,0,SMTP,49495.0,monday,1,monday_1,0.0008047819137573,109346.39371944896,1154.0,1154.0,14.0,14.0,4.0,54.0,6.0
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,None,0.0,920293240.9968492,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,79,None,0,SMTP,49495.0,monday,1,monday_1,0.0011143684387207,53842.1566110398,1258.0,1258.0,15.0,15.0,4.0,54.0,50.0
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,None,0.0,920293240.999288,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,80,None,0,SMTP,49495.0,monday,1,monday_1,0.0024389028549194,42642.12483503592,2336.0,2336.0,16.0,16.0,4.0,54.0,1024.0
Ether,60,IP,46,TCP,26.0,Padding,6.0,None,0.0,920293241.015828,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,16.0,25.0,1024.0,week1_monday.tcpdump,81,None,0,SMTP,49495.0,monday,1,monday_1,0.0165398120880126,65176.07299669901,60.0,2396.0,1.0,17.0,4.0,54.0,6.0
Ether,349,IP,335,TCP,315.0,SMTPRequest,295.0,None,0.0,920293241.016952,349,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,82,None,0,SMTP,49495.0,monday,1,monday_1,0.0011240243911743,53379.624562519886,409.0,2745.0,2.0,18.0,4.0,54.0,295.0
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,None,0.0,920293241.018508,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,83,None,0,SMTP,49495.0,monday,1,monday_1,0.0015560388565063,224287.4582088409,482.0,2818.0,3.0,19.0,4.0,54.0,19.0
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,None,0.0,920293241.019264,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,84,None,0,SMTP,49495.0,monday,1,monday_1,0.0007561445236206,96542.39066687688,542.0,2878.0,4.0,20.0,4.0,54.0,6.0
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,None,0.0,920293241.019482,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,85,None,0,SMTP,49495.0,monday,1,monday_1,0.0002179145812988,275337.2428884026,620.0,2956.0,5.0,21.0,4.0,54.0,24.0
