flow_id_count,length_total_sum,length_total_std,timestamps_min,header_length_std,payload_length_std,time_diff,rate,rolling_rate_byte_sec,rolling_rate_byte_min,rolling_rate_packet_sec,rolling_rate_packet_min
592,318495,947.8027568998676,1564064034.515368,0.0,890.8599515797335,0.0,0.0,318495.0,318495.0,1.0,1.0
11,780,10.92203777190452,1564064039.4553866,0.0,4.449719092257398,4.940018653869629,64472.42861127976,780.0,319275.0,1.0,2.0
37,8628,380.1915334434764,1564064039.802346,0.0,538.6299757261481,0.3469593524932861,2248.101958903366,9408.0,327903.0,2.0,3.0
796,742083,702.4612355911866,1564064046.05738,0.200375741354105,835.0363316258209,6.25503396987915,1379.3690076741016,742083.0,1069986.0,1.0,4.0
8,528,0.0,1564064069.540199,0.0,0.0,23.482819080352783,31601.103660542773,528.0,1070514.0,1.0,5.0
483,277696,986.7835436141586,1564064290.487669,0.0,940.2637684604932,220.9474699497223,2.389708287314397,277696.0,277696.0,1.0,1.0
13,910,9.76387901058454,1564064295.125991,0.0,4.506405697192865,4.638322114944458,59869.92561497107,910.0,278606.0,1.0,2.0
38,7375,476.3023331013412,1564064296.504273,0.0,470.5716122414426,1.378281831741333,660.2423242061445,7375.0,285981.0,1.0,3.0
4798,4511734,703.9078677173393,1564064303.003476,0.0816581610467672,496.3883230282335,6.499202966690064,1134.754528793546,4511734.0,4797715.0,1.0,4.0
12,900,13.293881025767934,1564064324.564949,0.0,5.416025603090641,21.56147313117981,209249.80276396932,900.0,4798615.0,1.0,5.0
12,2225,219.31067972724048,1564064429.626992,1.5569978883230458,194.67315265243013,105.06204295158386,8.566366831594456,2225.0,2225.0,1.0,1.0
15,7347,583.7499709391244,1564064485.747969,1.4074631010979932,998.1428230659654,56.12097692489624,39.646494446766326,7347.0,9572.0,1.0,2.0
549,291946,984.38411113975,1564064546.707223,0.0,900.1135808578183,60.95925402641296,120.52312839682432,291946.0,291946.0,1.0,1.0
42,8341,457.09688675291824,1564064551.539424,0.0,451.1195397458796,4.83220100402832,60416.77483130811,8341.0,300287.0,1.0,2.0
1,66,,1564064557.667839,,,6.128415107727051,1361.0370468350288,66.0,300353.0,1.0,3.0
847,767358,706.52534158218,1564064557.749152,0.1942569013751511,502.4549936936367,0.0813128948211669,811.6793793303641,767424.0,1067711.0,2.0,4.0
12,900,13.293881025767934,1564064564.72332,0.0,5.416025603090641,6.974168062210083,110028.60744896182,900.0,1068611.0,1.0,5.0
13,914,16.285907074239656,1564064564.885361,0.0,6.9945033364118805,0.1620409488677978,5554.151628266944,1814.0,1069525.0,2.0,6.0
8,528,0.0,1564064576.41522,0.0,0.0,11.52985906600952,79.27243470776742,528.0,1070053.0,1.0,7.0
517,283160,945.28568435955,1564064802.73323,0.0,937.9950326032816,226.3180100917816,2.333000364336331,283160.0,283160.0,1.0,1.0
14,1032,12.657795235339377,1564064804.7399518,0.0,5.15687954032345,2.0067217350006104,141105.7622296167,1032.0,284192.0,1.0,2.0
37,7634,483.9804893940602,1564064808.762268,0.0,478.2059157914066,4.022316217422485,256.5685898910527,7634.0,291826.0,1.0,3.0
